file	before_bytes	before_w	before_h	after_bytes	after_w	after_h	saved_pct
public/projects/chiba/logo.png	14410	1118	495	10062	1118	495	30.2
public/projects/parbar2/logo.png	3848	1100	514	4053	1100	514	-5.3
public/projects/parbar3/logo.png	3940	1137	477	4051	1137	477	-2.8
public/projects/lucca/logo.png	23087	1155	587	16335	1155	587	29.2
public/projects/parbar/preview.png	3252487	1922	1080	2143949	1440	809	34.1
public/projects/parbar/gallery/logo-hivegroup-projects.png	311	54	54	436	54	54	-40.2
public/projects/parbar/gallery/05-gallery-wide.webp	1165918	1788	738	139720	1440	594	88.0
public/projects/parbar/gallery/logo-hivegroup.png	614	54	54	539	54	54	12.2
public/projects/parbar/gallery/04-gallery-atmosphere.webp	331932	1190	772	218592	1190	772	34.1
public/projects/parbar/gallery/01-parbar-logo.webp	5618	1500	271	12832	1440	260	-128.4
public/projects/parbar/gallery/02-branding-element.webp	1770	2520	1112	3672	1440	635	-107.5
public/projects/parbar/gallery/03-gallery-interior.webp	654932	888	738	85214	888	738	87.0
public/projects/parbar/logo.png	3631	1118	459	3837	1118	459	-5.7
public/projects/kiki/preview.jpg	4297159	3840	5502	376983	1440	2063	91.2
public/projects/kiki/gallery/03-food-overhead.jpg	2716541	3450	5174	794548	1440	2160	70.8
public/projects/kiki/gallery/08-food-plating.jpg	1109321	3370	5056	347893	1440	2160	68.6
public/projects/kiki/gallery/07-greenery.jpg	1297893	4000	6000	307419	1440	2160	76.3
public/projects/kiki/gallery/01-food-wraps.jpg	1919996	4000	6000	441839	1440	2160	77.0
public/projects/kiki/gallery/11-interior-panoramic.jpg	259978	1723	1378	270420	1440	1152	-4.0
public/projects/kiki/gallery/06-cocktail-red.webp	322290	1233	1326	161254	1233	1326	50.0
public/projects/kiki/gallery/10-interior-atmosphere.jpg	1492914	3840	5502	360528	1440	2063	75.9
public/projects/kiki/gallery/09-burger-closeup.jpg	1673615	3152	5249	589337	1440	2398	64.8
public/projects/kiki/gallery/02-interior-bar.jpg	2045489	4000	6000	362620	1440	2160	82.3
public/projects/kiki/gallery/04-food-prep.jpg	4112365	4000	6000	782451	1440	2160	81.0
public/projects/kiki/gallery/05-cocktails.jpg	1960740	3609	5929	586838	1440	2366	70.1
public/projects/kiki/logo-badge.png	51020	1080	794	31395	1080	794	38.5
public/projects/kiki/logo.png	39202	1080	794	28732	1080	794	26.7
public/projects/outlaw/logo.png	6567	935	459	5034	935	459	23.3
public/projects/bunch/preview.png	3022268	1922	1080	2240435	1440	809	25.9
public/projects/bunch/gallery/08-evening-candle.jpg	149501	1074	1287	138868	1074	1287	7.1
public/projects/bunch/gallery/11-interior-wide.jpg	273073	1029	1542	259452	1029	1542	5.0
public/projects/bunch/gallery/06-cafe-bunch-sign.png	626417	1074	1155	700872	1074	1155	-11.9
public/projects/bunch/gallery/02-interior-dining.jpg	430234	1029	1545	402580	1029	1545	6.4
public/projects/bunch/gallery/hivegroup-logo.png	6548	477	69	6752	477	69	-3.1
public/projects/bunch/gallery/nav-icon-back.png	311	54	54	436	54	54	-40.2
public/projects/bunch/gallery/12-cafe-closeup.jpg	245711	1005	1509	229847	1005	1509	6.5
public/projects/bunch/gallery/03-food-detail.jpg	191274	1005	966	179213	1005	966	6.3
public/projects/bunch/gallery/hero-interior-overview.jpg	334328	1189	771	319641	1189	771	4.4
public/projects/bunch/gallery/05-atmosphere.jpg	252120	1038	1554	237304	1038	1554	5.9
public/projects/bunch/gallery/04-cafe-detail.jpg	256754	1005	1440	238898	1005	1440	7.0
public/projects/bunch/gallery/bunch-logo.png	8452	594	333	8601	594	333	-1.8
public/projects/bunch/gallery/01-interior-portrait.jpg	238650	1074	1614	219262	1074	1614	8.1
public/projects/bunch/gallery/nav-icon-home.png	614	54	54	539	54	54	12.2
public/projects/bunch/gallery/09-guest-portrait.jpg	196553	1032	1506	184816	1032	1506	6.0
public/projects/bunch/gallery/07-wine-food.jpg	221010	1005	1356	203592	1005	1356	7.9
public/projects/bunch/gallery/10-food-plating.jpg	340289	1074	1656	325174	1074	1656	4.4
public/projects/bunch/logo.webp	8410	682	382	8338	682	382	0.9
public/projects/bunch/logo.png	26108	1816	1080	26977	1440	856	-3.3
