file	before_bytes	before_w	before_h	after_bytes	after_w	after_h	saved_pct
public/media/11-interior-panoramic-1400x1120.jpg	243638	1400	1120	234309	1400	1120	3.8
public/media/10-interior-atmosphere-900x1290.jpg	148070	900	1290	145360	900	1290	1.8
public/media/preview-1-500x500.jpg	49466	500	500	48088	500	500	2.8
public/media/preview-1-500x500.png	538613	500	500	430226	500	500	20.1
public/media/gallery-03-300x300.jpg	22238	300	300	21571	300	300	3.0
public/media/gallery-06-1400x1400.jpg	120068	1400	1400	116339	1400	1400	3.1
public/media/08-evening-candle.jpg	149501	1074	1287	132834	1074	1287	11.1
public/media/logo-1-600x336.webp	7966	600	336	7964	600	336	0.0
public/media/01-food-wraps-1400x2100.jpg	392652	1400	2100	382246	1400	2100	2.7
public/media/gallery-02-1400x1400.jpg	159202	1400	1400	154016	1400	1400	3.3
public/media/09-burger-closeup-500x500.jpg	54239	500	500	52479	500	500	3.2
public/media/logo-2.webp	8024	682	382	8024	682	382	0.0
public/media/preview-2-900x506.png	885973	900	506	698351	900	506	21.2
public/media/04-gallery-atmosphere-600x389.webp	62274	600	389	61334	600	389	1.5
public/media/preview-1-300x300.jpg	22279	300	300	21700	300	300	2.6
public/media/gallery-03-500x500.jpg	52621	500	500	50879	500	500	3.3
public/media/06-cocktail-red-900x968.webp	96702	900	968	91686	900	968	5.2
public/media/03-food-overhead.jpg	2716541	3450	5174	710711	1440	2160	73.8
public/media/11-interior-wide.jpg	273073	1029	1542	240428	1029	1542	12.0
public/media/06-cocktail-red-500x500.webp	39596	500	500	38008	500	500	4.0
public/media/03-food-overhead-500x500.jpg	65688	500	500	63073	500	500	4.0
public/media/preview.jpg	4297159	3840	5502	333549	1440	2063	92.2
public/media/05-gallery-wide-300x124.webp	10812	300	124	10420	300	124	3.6
public/media/01-food-wraps-600x900.jpg	90310	600	900	87973	600	900	2.6
public/media/preview.png	3022268	1922	1080	1581703	1440	809	47.7
public/media/gallery-05-300x375.jpg	24614	300	375	23746	300	375	3.5
public/media/logo-1200x630.png	10746	1200	630	6291	1200	630	41.5
public/media/preview-1400x2006.jpg	246373	1400	2006	243549	1400	2006	1.1
public/media/logo-500x500.png	4418	500	500	3015	500	500	31.8
public/media/08-food-plating-500x500.jpg	44611	500	500	43527	500	500	2.4
public/media/09-guest-portrait-900x1313.jpg	90021	900	1313	89254	900	1313	0.9
public/media/gallery-02-900x900.jpg	79140	900	900	76164	900	900	3.8
public/media/gallery-02-1200x630.jpg	87378	1200	630	84523	1200	630	3.3
public/media/08-food-plating.jpg	1109321	3370	5056	316336	1440	2160	71.5
public/media/gallery-05-1200x630.jpg	128768	1200	630	124203	1200	630	3.5
public/media/04-gallery-atmosphere-1200x630.webp	154140	1200	630	151518	1200	630	1.7
public/media/04-gallery-atmosphere-900x584.webp	126174	900	584	123922	900	584	1.8
public/media/logo-300x168.webp	3214	300	168	3214	300	168	0.0
public/media/07-greenery-1920x2880.jpg	476949	1920	2880	287098	1440	2160	39.8
public/media/03-food-overhead-600x900.jpg	137269	600	900	131560	600	900	4.2
public/media/03-gallery-interior-600x499.webp	41630	600	499	38548	600	499	7.4
public/media/07-wine-food-1200x630.jpg	81676	1200	630	81676	1200	630	0.0
public/media/09-burger-closeup-300x500.jpg	32302	300	500	31480	300	500	2.5
public/media/05-gallery-wide-500x500.webp	42774	500	500	40138	500	500	6.2
public/media/01-food-wraps-500x500.jpg	54814	500	500	53044	500	500	3.2
public/media/03-food-detail-600x577.jpg	56938	600	577	56346	600	577	1.0
public/media/06-cafe-bunch-sign.png	626417	1074	1155	620742	1074	1155	0.9
public/media/02-interior-dining.jpg	430234	1029	1545	377421	1029	1545	12.3
public/media/preview-1.png	3022268	1922	1080	1581703	1440	809	47.7
public/media/08-food-plating-600x900.jpg	78265	600	900	76467	600	900	2.3
public/media/preview-1.jpg	199944	1440	1440	199944	1440	1440	0.0
public/media/10-food-plating-1200x630.jpg	112230	1200	630	108146	1200	630	3.6
public/media/07-wine-food-900x1214.jpg	123306	900	1214	123043	900	1214	0.2
public/media/02-interior-dining-300x450.jpg	34387	300	450	33196	300	450	3.5
public/media/logo-1400x618.png	11130	1400	618	6542	1400	618	41.2
public/media/preview-300x430.jpg	21016	300	430	20893	300	430	0.6
public/media/gallery-02-600x600.jpg	39782	600	600	38314	600	600	3.7
public/media/logo-1920x847.png	16470	1920	847	6710	1440	635	59.3
public/media/02-interior-bar-1200x630.jpg	96979	1200	630	93931	1200	630	3.1
public/media/gallery-04-1200x630.jpg	96256	1200	630	91855	1200	630	4.6
public/media/gallery-06-300x300.jpg	10295	300	300	10143	300	300	1.5
public/media/11-interior-wide-300x450.jpg	22663	300	450	22240	300	450	1.9
public/media/gallery-05-600x750.jpg	76495	600	750	73452	600	750	4.0
public/media/03-food-detail-900x865.jpg	105136	900	865	103884	900	865	1.2
public/media/10-food-plating-900x1388.jpg	160716	900	1388	155098	900	1388	3.5
public/media/gallery-03-1200x630.jpg	142059	1200	630	137673	1200	630	3.1
public/media/preview-3.png	3252487	1922	1080	1697871	1440	809	47.8
public/media/preview-1-600x337.png	401406	600	337	320118	600	337	20.3
public/media/gallery-06-500x500.jpg	23275	500	500	22440	500	500	3.6
public/media/11-interior-panoramic-900x720.jpg	118346	900	720	113375	900	720	4.2
public/media/preview-2.png	3022268	1922	1080	1581703	1440	809	47.7
public/media/gallery-01-1400x1400.jpg	319687	1400	1400	309787	1400	1400	3.1
public/media/12-cafe-closeup.jpg	245711	1005	1509	215161	1005	1509	12.4
public/media/preview-300x169.png	109392	300	169	88811	300	169	18.8
public/media/logo-500x500.webp	13528	500	500	13524	500	500	0.0
public/media/08-evening-candle-300x359.jpg	13886	300	359	13886	300	359	0.0
public/media/05-cocktails-1400x2300.jpg	520370	1400	2300	491765	1400	2300	5.5
public/media/10-food-plating-600x925.jpg	81594	600	925	78867	600	925	3.3
public/media/05-atmosphere-600x898.jpg	65918	600	898	64857	600	898	1.6
public/media/02-interior-bar-1400x2100.jpg	314875	1400	2100	303373	1400	2100	3.7
public/media/logo-2-1200x630.png	2109460	1200	630	1442478	1200	630	31.6
public/media/12-cafe-closeup-1200x630.jpg	79485	1200	630	78213	1200	630	1.6
public/media/08-food-plating-1200x630.jpg	106108	1200	630	103430	1200	630	2.5
public/media/01-food-wraps-900x1350.jpg	179297	900	1350	175248	900	1350	2.3
public/media/gallery-05-500x500.jpg	52549	500	500	50412	500	500	4.1
public/media/preview-3-300x169.png	102399	300	169	91923	300	169	10.2
public/media/01-interior-portrait-1200x630.jpg	70396	1200	630	70396	1200	630	0.0
public/media/02-interior-bar-500x500.jpg	39606	500	500	38889	500	500	1.8
public/media/preview-1-1920x1079.png	4034126	1920	1079	1609591	1440	809	60.1
public/media/09-burger-closeup-600x999.jpg	107420	600	999	104424	600	999	2.8
public/media/03-food-detail.jpg	191274	1005	966	168756	1005	966	11.8
public/media/04-cafe-detail-300x430.jpg	24747	300	430	24421	300	430	1.3
public/media/10-interior-atmosphere-300x430.jpg	26147	300	430	25584	300	430	2.2
public/media/preview-2-600x337.png	401406	600	337	320118	600	337	20.3
public/media/preview-1-1200x630.jpg	94551	1200	630	93647	1200	630	1.0
public/media/preview-1200x630.png	1490177	1200	630	1153584	1200	630	22.6
public/media/preview-1200x630.jpg	75523	1200	630	74983	1200	630	0.7
public/media/gallery-01-600x600.jpg	72286	600	600	70073	600	600	3.1
public/media/04-gallery-atmosphere-300x195.webp	18314	300	195	17882	300	195	2.4
public/media/preview-1-1400x1400.jpg	241155	1400	1400	237655	1400	1400	1.5
public/media/preview-1-1200x630.png	1490177	1200	630	1153584	1200	630	22.6
public/media/12-cafe-closeup-300x450.jpg	23406	300	450	23045	300	450	1.5
public/media/04-cafe-detail-900x1290.jpg	129874	900	1290	128794	900	1290	0.8
public/media/08-evening-candle-500x500.jpg	25960	500	500	25960	500	500	0.0
public/media/logo-2-1400x581.png	2282497	1400	581	1576389	1400	581	30.9
public/media/03-food-overhead-1400x2100.jpg	706790	1400	2100	674862	1400	2100	4.5
public/media/11-interior-panoramic-1200x630.jpg	159113	1200	630	152992	1200	630	3.8
public/media/gallery-04-900x900.jpg	81577	900	900	78726	900	900	3.5
public/media/05-atmosphere-500x500.jpg	37236	500	500	36739	500	500	1.3
public/media/06-cocktail-red-1200x630.webp	70290	1200	630	66896	1200	630	4.8
public/media/05-cocktails-1200x630.jpg	111989	1200	630	107241	1200	630	4.2
public/media/04-food-prep-1920x2880.jpg	1313922	1920	2880	702830	1440	2160	46.5
public/media/05-gallery-wide-1200x630.webp	108376	1200	630	101980	1200	630	5.9
public/media/07-greenery-600x900.jpg	72792	600	900	71484	600	900	1.8
public/media/04-food-prep-900x1350.jpg	282751	900	1350	269919	900	1350	4.5
public/media/preview-1400x787.png	2183314	1400	787	1672781	1400	787	23.4
public/media/02-interior-dining-900x1351.jpg	219362	900	1351	214959	900	1351	2.0
public/media/gallery-01-900x900.jpg	148359	900	900	143657	900	900	3.2
public/media/05-cocktails-500x500.jpg	46804	500	500	45806	500	500	2.1
public/media/preview-1-1400x787.png	2183314	1400	787	1672781	1400	787	23.4
public/media/logo-1-300x221.png	11412	300	221	10375	300	221	9.1
public/media/logo-2-300x124.png	114129	300	124	95595	300	124	16.2
public/media/logo-2-600x249.png	438772	600	249	340714	600	249	22.3
public/media/07-greenery.jpg	1297893	4000	6000	280800	1440	2160	78.4
public/media/logo-2-500x500.webp	13528	500	500	13524	500	500	0.0
public/media/03-food-overhead-900x1350.jpg	302310	900	1350	287086	900	1350	5.0
public/media/logo.webp	8024	682	382	8024	682	382	0.0
public/media/07-greenery-500x500.jpg	42758	500	500	41783	500	500	2.3
public/media/09-guest-portrait-1200x630.jpg	62057	1200	630	61287	1200	630	1.2
public/media/08-food-plating-1400x2100.jpg	308103	1400	2100	302271	1400	2100	1.9
public/media/01-food-wraps.jpg	1919996	4000	6000	401421	1440	2160	79.1
public/media/05-atmosphere-900x1347.jpg	125956	900	1347	124010	900	1347	1.5
public/media/05-gallery-wide.webp	166314	1788	738	115892	1440	594	30.3
public/media/11-interior-wide-1200x630.jpg	94072	1200	630	90224	1200	630	4.1
public/media/07-greenery-1200x630.jpg	95418	1200	630	93756	1200	630	1.7
public/media/preview-2-1920x1079.png	4034126	1920	1079	1609591	1440	809	60.1
public/media/03-gallery-interior-500x500.webp	35838	500	500	33184	500	500	7.4
public/media/11-interior-wide-900x1349.jpg	132495	900	1349	128690	900	1349	2.9
public/media/11-interior-panoramic.jpg	259978	1723	1378	244499	1440	1152	6.0
public/media/preview-1-900x506.png	885973	900	506	698351	900	506	21.2
public/media/02-interior-bar-600x900.jpg	64941	600	900	63975	600	900	1.5
public/media/gallery-04-600x600.jpg	38666	600	600	37572	600	600	2.8
public/media/04-food-prep-300x450.jpg	34426	300	450	33246	300	450	3.4
public/media/preview-1920x2751.jpg	437470	1920	2751	263344	1440	2063	39.8
public/media/01-interior-portrait-300x451.jpg	17517	300	451	17483	300	451	0.2
public/media/11-interior-panoramic-300x240.jpg	18660	300	240	18116	300	240	2.9
public/media/05-atmosphere-300x449.jpg	21849	300	449	21686	300	449	0.7
public/media/logo-2-300x168.webp	3214	300	168	3214	300	168	0.0
public/media/06-cocktail-red-300x323.webp	20296	300	323	19282	300	323	5.0
public/media/08-evening-candle-600x719.jpg	37638	600	719	37638	600	719	0.0
public/media/08-evening-candle-900x1078.jpg	70068	900	1078	70068	900	1078	0.0
public/media/preview-2-500x500.png	538613	500	500	430226	500	500	20.1
public/media/06-cafe-bunch-sign-300x323.png	135450	300	323	108820	300	323	19.7
public/media/preview-1-300x169.png	109392	300	169	88811	300	169	18.8
public/media/preview-2-1200x630.png	1490177	1200	630	1153584	1200	630	22.6
public/media/logo-2-500x500.png	722443	500	500	508060	500	500	29.7
public/media/preview-3-1400x787.png	2090300	1400	787	1794772	1400	787	14.1
public/media/06-cafe-bunch-sign-600x645.png	542427	600	645	450357	600	645	17.0
public/media/05-gallery-wide-900x371.webp	68810	900	371	65790	900	371	4.4
public/media/03-food-detail-1200x630.jpg	97438	1200	630	95849	1200	630	1.6
public/media/05-atmosphere.jpg	252120	1038	1554	223322	1038	1554	11.4
public/media/logo-2.png	2910553	1784	740	1546430	1440	597	46.9
public/media/05-atmosphere-1200x630.jpg	95595	1200	630	93507	1200	630	2.2
public/media/01-interior-portrait-600x902.jpg	55195	600	902	54943	600	902	0.5
public/media/06-cocktail-red.webp	145126	1233	1326	133956	1233	1326	7.7
public/media/preview-1-600x600.jpg	64606	600	600	62893	600	600	2.7
public/media/04-gallery-atmosphere.webp	194306	1190	772	191524	1190	772	1.4
public/media/logo-2-900x373.png	963868	900	373	707820	900	373	26.6
public/media/01-food-wraps-1920x2880.jpg	699782	1920	2880	407269	1440	2160	41.8
public/media/gallery-03-600x600.jpg	70797	600	600	68590	600	600	3.1
public/media/preview-600x337.png	401406	600	337	320118	600	337	20.3
public/media/preview-600x860.jpg	62315	600	860	61894	600	860	0.7
public/media/07-greenery-900x1350.jpg	134073	900	1350	132011	900	1350	1.5
public/media/12-cafe-closeup-500x500.jpg	39332	500	500	38653	500	500	1.7
public/media/logo-1-1200x630.png	48680	1200	630	45280	1200	630	7.0
public/media/10-interior-atmosphere.jpg	1492914	3840	5502	324620	1440	2063	78.3
public/media/03-food-overhead-1200x630.jpg	160681	1200	630	153679	1200	630	4.4
public/media/07-wine-food-500x500.jpg	41385	500	500	41013	500	500	0.9
public/media/gallery-06-900x900.jpg	58770	900	900	56244	900	900	4.3
public/media/logo-600x336.webp	7966	600	336	7964	600	336	0.0
public/media/04-cafe-detail.jpg	256754	1005	1440	225101	1005	1440	12.3
public/media/09-guest-portrait-500x500.jpg	21562	500	500	21562	500	500	0.0
public/media/04-food-prep-600x900.jpg	129509	600	900	123826	600	900	4.4
public/media/logo-1.png	39271	1080	794	31350	1080	794	20.2
public/media/09-burger-closeup.jpg	1673615	3152	5249	525644	1440	2398	68.6
public/media/02-interior-dining-1200x630.jpg	83245	1200	630	83245	1200	630	0.0
public/media/04-food-prep-1200x630.jpg	226125	1200	630	214347	1200	630	5.2
public/media/03-gallery-interior-1200x630.webp	78498	1200	630	71894	1200	630	8.4
public/media/06-cafe-bunch-sign-900x968.png	1225029	900	968	1041982	900	968	14.9
public/media/preview-3-1920x1079.png	3887328	1920	1079	1717492	1440	809	55.8
public/media/02-interior-bar-300x450.jpg	23767	300	450	23420	300	450	1.5
public/media/09-burger-closeup-1200x630.jpg	141239	1200	630	135885	1200	630	3.8
public/media/05-gallery-wide-1400x578.webp	123314	1400	578	115320	1400	578	6.5
public/media/02-interior-bar.jpg	2045489	4000	6000	320703	1440	2160	84.3
public/media/logo.png	16371	2520	1112	5441	1440	635	66.8
public/media/07-greenery-1400x2100.jpg	273034	1400	2100	268335	1400	2100	1.7
public/media/04-food-prep-500x500.jpg	69924	500	500	66538	500	500	4.8
public/media/gallery-05-900x1125.jpg	143337	900	1125	138053	900	1125	3.7
public/media/preview-1920x1079.png	4034126	1920	1079	1609591	1440	809	60.1
public/media/gallery-03-900x900.jpg	143013	900	900	138423	900	900	3.2
public/media/preview-1-900x900.jpg	122530	900	900	119914	900	900	2.1
public/media/logo-1-900x662.png	42837	900	662	40258	900	662	6.0
public/media/preview-3-1200x630.png	1459323	1200	630	1263848	1200	630	13.4
public/media/01-interior-portrait-500x500.jpg	29273	500	500	29058	500	500	0.7
public/media/03-food-detail-500x500.jpg	44633	500	500	44078	500	500	1.2
public/media/10-interior-atmosphere-1920x2751.jpg	576158	1920	2751	333659	1440	2063	42.1
public/media/11-interior-panoramic-600x480.jpg	59390	600	480	57095	600	480	3.9
public/media/logo-1-500x500.webp	13528	500	500	13524	500	500	0.0
public/media/06-cafe-bunch-sign-500x500.png	353350	500	500	288010	500	500	18.5
public/media/preview-2-1400x787.png	2183314	1400	787	1672781	1400	787	23.4
public/media/01-interior-portrait-900x1353.jpg	111069	900	1353	111069	900	1353	0.0
public/media/07-greenery-300x450.jpg	26559	300	450	26045	300	450	1.9
public/media/09-burger-closeup-1400x2331.jpg	519436	1400	2331	499551	1400	2331	3.8
public/media/preview-3-900x506.png	857232	900	506	758345	900	506	11.5
public/media/03-food-detail-300x288.jpg	19611	300	288	19376	300	288	1.2
public/media/12-cafe-closeup-600x901.jpg	73710	600	901	72176	600	901	2.1
public/media/06-cafe-bunch-sign-1200x630.png	1029538	1200	630	864988	1200	630	16.0
public/media/12-cafe-closeup-900x1351.jpg	143005	900	1351	140003	900	1351	2.1
public/media/gallery-02-500x500.jpg	29240	500	500	28291	500	500	3.2
public/media/logo-1-300x168.webp	3214	300	168	3214	300	168	0.0
public/media/05-cocktails-1920x3154.jpg	903739	1920	3154	522272	1440	2366	42.2
public/media/01-interior-portrait.jpg	238650	1074	1614	209432	1074	1614	12.2
public/media/gallery-02-300x300.jpg	12520	300	300	12363	300	300	1.3
public/media/05-gallery-wide-600x248.webp	35946	600	248	34532	600	248	3.9
public/media/08-food-plating-900x1350.jpg	146947	900	1350	144161	900	1350	1.9
public/media/01-food-wraps-1200x630.jpg	162009	1200	630	157236	1200	630	2.9
public/media/05-cocktails-300x493.jpg	26886	300	493	26854	300	493	0.1
public/media/09-guest-portrait-600x876.jpg	40398	600	876	40398	600	876	0.0
public/media/preview-500x500.png	538613	500	500	430226	500	500	20.1
public/media/gallery-06-600x600.jpg	30506	600	600	29313	600	600	3.9
public/media/10-interior-atmosphere-1200x630.jpg	95799	1200	630	93691	1200	630	2.2
public/media/preview-500x500.jpg	34770	500	500	34605	500	500	0.5
public/media/11-interior-panoramic-500x500.jpg	51554	500	500	49568	500	500	3.9
public/media/02-interior-bar-1920x2880.jpg	631884	1920	2880	329893	1440	2160	47.8
public/media/09-burger-closeup-900x1499.jpg	226278	900	1499	218720	900	1499	3.3
public/media/preview-3-500x500.png	503147	500	500	449062	500	500	10.7
public/media/logo-600x265.png	4517	600	265	3492	600	265	22.7
public/media/gallery-01-300x300.jpg	22553	300	300	21910	300	300	2.9
public/media/08-food-plating-300x450.jpg	27280	300	450	26600	300	450	2.5
public/media/04-cafe-detail-500x500.jpg	39012	500	500	38576	500	500	1.1
public/media/10-interior-atmosphere-500x500.jpg	43170	500	500	42260	500	500	2.1
public/media/preview-900x506.png	885973	900	506	698351	900	506	21.2
public/media/07-wine-food-600x810.jpg	67082	600	810	66630	600	810	0.7
public/media/09-burger-closeup-1920x3197.jpg	944701	1920	3197	532082	1440	2398	43.7
public/media/06-cocktail-red-600x645.webp	54884	600	645	52488	600	645	4.4
public/media/gallery-01-500x500.jpg	53484	500	500	51830	500	500	3.1
public/media/04-gallery-atmosphere-500x500.webp	65698	500	500	64696	500	500	1.5
public/media/10-interior-atmosphere-1400x2006.jpg	317784	1400	2006	309595	1400	2006	2.6
public/media/logo-2-600x336.webp	7966	600	336	7964	600	336	0.0
public/media/02-interior-bar-900x1350.jpg	129719	900	1350	126475	900	1350	2.5
